,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteratoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumAliphaticHeterocycles,RingCount,MW,LogP,MR,TPSA
297,39,7,12,12,6,12,5,208,2,1,5,5,0.0013000000000004674,131.75440000000012,206.07
298,45,4,9,7,4,9,11,240,3,1,5,5,2.866900000000004,174.06699999999955,118.03000000000002
299,5,0,0,0,0,3,0,32,0,0,0,0,2.376500000000001,25.963999999999995,0.0
300,5,0,0,0,0,3,1,32,0,0,0,0,2.0289,26.213999999999995,0.0
301,5,0,0,0,0,3,0,30,0,0,0,0,1.9630999999999998,16.152,0.0
302,5,1,1,1,1,1,2,32,0,0,0,0,0.7787999999999999,21.993799999999997,20.23
303,5,0,1,1,0,1,1,30,0,0,0,0,0.9854,20.971999999999994,17.07
304,5,0,1,1,0,1,2,28,0,0,0,0,1.29,21.478999999999992,9.23
305,5,0,1,1,0,1,2,32,0,0,0,0,1.0428000000000002,22.166999999999994,9.23
306,5,1,1,1,1,1,1,32,0,0,0,0,0.6347,21.923799999999996,20.23
307,5,0,2,2,0,2,0,30,0,0,0,0,0.17930000000000001,17.689999999999998,26.3
308,6,0,0,0,0,4,0,38,0,0,0,0,2.5954000000000006,31.009999999999998,0.0
309,6,1,1,1,1,1,3,38,0,0,0,0,1.1689,26.61079999999999,20.23
310,6,0,0,0,0,0,0,38,0,0,0,0,2.442500000000001,29.74599999999998,0.0
311,6,0,0,0,0,0,2,38,0,0,0,0,2.442500000000001,29.74599999999998,0.0
312,6,0,1,1,0,1,2,36,0,0,0,0,1.3755,25.588999999999988,17.07
313,6,0,0,0,0,0,2,38,0,0,0,0,2.442500000000001,29.74599999999998,0.0
314,6,1,1,1,1,1,1,38,0,0,0,0,1.1673,26.58879999999999,20.23
315,6,0,0,0,0,0,0,30,1,0,1,1,1.6866,26.441999999999993,0.0
316,6,0,0,0,0,0,0,36,0,0,1,1,2.3406000000000002,27.701999999999984,0.0
317,6,0,2,2,0,2,1,36,0,0,0,0,0.5694,22.30699999999999,26.3
318,6,0,0,0,0,0,0,36,0,0,1,1,2.1965000000000003,27.631999999999984,0.0
319,20,0,2,2,0,2,0,102,2,2,4,4,2.5391600000000007,81.65200000000006,6.48
320,23,0,3,3,0,5,1,114,3,1,4,4,3.915370000000002,87.32900000000004,30.18
321,19,1,7,6,1,7,2,98,2,1,3,3,-0.021260000000000112,60.21030000000002,86.99000000000001
322,20,0,3,3,0,3,0,102,2,2,4,4,1.9341599999999997,79.44700000000005,19.37
323,21,2,4,4,2,4,0,110,1,2,5,5,0.1638599999999999,75.82460000000003,52.93
324,8,0,0,0,0,0,0,42,1,0,1,1,2.19402,35.384,0.0
325,15,4,4,3,3,5,2,76,2,0,2,2,1.3548399999999998,60.9408,74.79
326,11,0,2,2,0,2,3,60,1,0,1,1,1.13099,46.229000000000035,16.130000000000003
327,17,1,5,4,1,5,2,88,2,0,2,2,1.78507,60.74330000000002,72.19
328,40,4,7,6,4,8,9,218,2,1,4,4,4.0677800000000035,160.02049999999969,101.9
329,20,1,5,4,1,5,1,100,2,1,4,4,1.39997,73.32120000000002,58.120000000000005
330,6,0,0,0,0,0,3,38,0,0,0,0,2.5866000000000007,29.81599999999998,0.0
331,12,0,2,2,0,2,1,64,1,1,2,2,1.79359,48.576000000000036,16.130000000000003
332,30,0,5,4,0,6,6,158,2,2,4,4,3.1239800000000013,113.83750000000003,43.86
333,9,0,0,0,0,0,6,56,0,0,0,0,3.7569000000000026,43.667000000000016,0.0
334,20,1,2,3,1,4,4,104,2,1,3,3,3.5749600000000026,87.05870000000004,15.27
335,20,1,4,2,1,5,1,100,2,1,3,3,2.20507,75.81470000000003,49.410000000000004
336,19,1,3,2,1,4,1,94,2,1,3,3,2.639470000000001,75.67370000000003,41.46
337,11,1,2,2,1,2,1,58,1,1,2,2,1.4513900000000002,43.948700000000024,24.92
338,24,1,2,4,1,4,4,126,2,2,4,4,4.315650000000003,106.06670000000005,15.27
339,32,1,6,6,1,6,13,174,2,0,2,2,2.7918200000000013,124.05670000000006,72.74000000000001
340,12,2,5,3,2,5,1,66,0,1,1,1,-0.23130000000000006,40.0794,75.27000000000001
341,8,0,0,0,0,0,5,50,0,0,0,0,3.3668000000000022,39.05,0.0
342,22,1,4,5,1,5,0,114,2,2,4,4,2.18797,91.04370000000006,30.869999999999997
343,19,1,2,2,1,3,0,96,2,2,4,4,2.882060000000001,74.56770000000003,21.259999999999998
344,20,0,2,2,0,3,0,102,2,2,4,4,3.224260000000002,79.19500000000005,12.47
345,17,2,5,3,2,5,6,96,0,1,1,1,1.7192,63.16440000000003,75.27000000000001
346,20,2,4,3,2,5,1,100,2,1,3,3,1.9578700000000002,76.81350000000002,61.69
347,3,0,1,1,0,1,0,18,0,1,1,1,0.016600000000000004,10.819,12.53
348,8,0,0,0,0,0,0,42,1,0,1,1,2.19402,35.38399999999999,0.0
349,31,1,7,7,1,8,4,164,3,2,5,5,3.3339500000000015,110.35180000000004,84.39
350,11,2,3,2,2,3,1,58,1,0,1,1,0.5075799999999999,40.976500000000016,49.33
351,13,1,6,5,1,6,0,68,2,0,2,2,0.3316599999999998,44.58570000000001,72.68
352,30,1,5,4,1,7,6,158,2,2,4,4,3.5442800000000023,116.91020000000005,52.650000000000006
353,5,0,0,0,0,0,2,32,0,0,0,0,2.1965000000000003,25.19899999999999,0.0
354,21,1,2,2,1,2,2,114,1,1,3,3,3.310770000000003,86.59380000000004,23.47
355,16,2,5,3,2,5,4,90,0,1,1,1,1.1849999999999998,58.477400000000024,75.27000000000001
356,9,0,2,2,0,2,4,54,0,0,0,0,1.7397,36.157999999999994,26.3
357,10,0,4,4,0,4,0,54,1,1,2,2,0.3447899999999998,35.105999999999995,43.6
358,6,0,0,0,0,4,0,36,0,0,0,0,3.0682,30.438000000000002,0.0
359,11,1,1,1,1,1,3,60,1,0,1,1,1.78229,48.401700000000034,12.03
360,18,0,1,1,0,1,2,98,1,1,3,3,4.277190000000004,76.36300000000006,3.24
361,21,0,3,3,0,4,4,110,2,1,3,3,2.27926,87.22740000000006,23.55
362,25,1,5,4,1,5,2,130,2,2,4,4,2.3882600000000007,96.79670000000006,44.81
363,23,1,4,4,1,4,5,118,3,0,3,3,3.6791500000000026,89.55280000000003,47.16
364,13,0,2,1,0,2,1,70,1,0,1,1,2.35959,54.722400000000036,26.07
365,20,1,5,4,1,5,1,108,1,2,3,3,0.8761699999999999,76.61570000000005,44.81
366,25,0,3,2,0,4,4,128,3,0,3,3,4.562550000000004,100.24150000000006,33.2
367,16,2,4,2,2,4,2,84,1,1,2,2,0.4831899999999996,59.297400000000025,58.2
368,17,2,4,4,1,4,6,94,1,0,1,1,1.33208,67.83490000000003,55.56
369,20,0,2,3,0,3,4,104,2,1,3,3,3.263760000000002,86.67600000000006,6.48
370,3,0,0,0,0,0,0,18,0,0,0,0,1.1923000000000001,15.871000000000002,0.0
371,13,1,1,1,1,1,2,72,1,0,1,1,3.067170000000002,55.142800000000044,20.23
372,19,2,3,3,2,3,6,102,2,0,2,2,1.6866699999999997,75.77250000000004,41.489999999999995
